1621039704376,173.24411,0.39014494,8.674354
1621039704394,173.31413,0.315696,9.233126
1621039704417,173.34555,0.30471873,9.791191
1621039704437,173.41263,0.30064607,10.39266
1621039704456,173.55098,0.27976242,11.079745
1621039704471,173.67639,0.24148478,11.827865
1621039704494,173.82004,0.15348697,12.557922
1621039704511,173.9724,0.017000342,13.139007
1621039704529,174.09944,-0.118546605,13.59987
1621039704545,174.17972,-0.24841796,13.990439
1621039704567,174.24402,-0.34058273,14.439715
1621039704586,174.2764,-0.36959332,14.966193
1621039704608,174.2919,-0.37360898,15.474157
1621039704627,174.2983,-0.34705964,16.00138
1621039704646,174.29544,-0.31414482,16.58204
1621039704669,174.28741,-0.29759306,17.232584
1621039704688,174.23701,-0.2619284,17.877356
1621039704708,174.15475,-0.1697089,18.503159
1621039704727,174.03365,-0.051390138,19.088888
1621039704749,173.88727,0.09992818,19.703985
1621039704766,173.7395,0.2808878,20.306969
1621039704786,173.5902,0.47485077,20.812807
1621039704813,173.39822,0.6129971,21.205433
1621039704850,173.13242,0.67294323,21.5219
1621039704856,172.85745,0.74418265,21.912313
1621039704870,172.59186,0.8839398,22.506569
1621039704913,172.30167,1.1019214,23.240034
1621039704914,172.00568,1.3108319,23.84573
1621039704938,171.7219,1.4673916,24.2278
1621039704946,171.40926,1.5195931,24.441576
1621039704967,171.05788,1.5459557,24.518532
1621039704988,170.65427,1.6227938,24.535336
1621039705007,170.24219,1.7840885,24.542341
1621039705030,169.79587,1.9655553,24.594288
1621039705048,169.32141,2.1348615,24.677073
1621039705071,168.86899,2.352393,24.812334
1621039705087,168.43753,2.559353,24.99074
1621039705110,167.96494,2.6946225,25.080557
1621039705126,167.44485,2.7330797,24.96389
1621039705145,166.94164,2.765768,24.765163
1621039705170,166.46748,2.8383393,24.56348
1621039705187,165.96864,2.882913,24.255238
1621039705211,165.3499,2.721237,23.732628
1621039705238,164.65579,2.2914696,22.994715
1621039705246,163.97389,1.8115344,22.127335
1621039705280,163.27975,1.4106046,21.19657
1621039705290,162.57042,1.1225368,20.294344
1621039705313,161.93628,0.96662736,19.488459
1621039705327,161.3209,0.8962043,18.657991
1621039705350,160.66211,0.8389179,17.765932
1621039705364,159.9481,0.682602,16.724634
1621039705385,159.27007,0.3945281,15.558268
1621039705414,158.65852,0.06426804,14.29058
1621039705452,158.09818,-0.17867185,12.884599
1621039705452,157.55345,-0.2773659,11.425313
1621039705484,157.01984,-0.2973504,10.014795
1621039705493,156.4791,-0.34737328,8.797273
1621039705512,156.02216,-0.4925656,7.791628
1621039705529,155.67761,-0.7056923,6.815337
1621039705549,155.39368,-0.906859,5.7981997
1621039705567,155.15321,-1.0175663,4.7536335
1621039705587,154.95827,-1.062636,3.7861383
1621039705608,154.78645,-1.1402278,2.8969128
1621039705630,154.60057,-1.396176,2.1084256
1621039705648,154.49205,-1.7361405,1.3890892
1621039705679,154.48668,-1.9905549,0.7604552
1621039705688,154.54576,-2.0765386,0.20080523
1621039705715,154.65753,-2.0740356,-0.37802663
1621039705725,154.84534,-2.0891402,-0.96849084
1621039705748,155.07834,-2.1589994,-1.5554426
1621039705768,155.33852,-2.2907102,-2.1583679
1621039705787,155.61328,-2.476685,-2.8988202
1621039705807,155.88521,-2.6662853,-3.751292
1621039705832,156.15521,-2.8347664,-4.6338987
1621039705846,156.43195,-2.9921381,-5.468135
1621039705893,156.72252,-3.130528,-6.1877213
1621039705895,157.07166,-3.2222419,-6.79526
1621039705921,157.43117,-3.2799845,-7.395037
1621039705928,157.77995,-3.3086424,-8.087174
1621039705949,158.14711,-3.3124344,-8.790047
1621039705966,158.58246,-3.2996752,-9.454348
1621039705986,159.08623,-3.2979329,-10.148976
1621039706011,159.6441,-3.3284798,-10.909623
1621039706036,160.2151,-3.3752885,-11.683996
1621039706048,160.76917,-3.4308844,-12.46643
1621039706085,161.329,-3.4987326,-13.296072
1621039706091,161.79602,-3.6477911,-14.171252
1621039706114,162.15988,-3.9637752,-15.151272
1621039706129,162.74013,-4.3371267,-16.238216
1621039706148,163.31332,-4.7402916,-17.347294
1621039706166,163.80394,-4.9925885,-18.50733
1621039706188,164.2295,-5.0468583,-19.63908
1621039706211,164.60162,-4.961037,-20.810091
1621039706237,164.8951,-4.847931,-22.005617
1621039706249,165.18018,-4.656291,-23.160816
1621039706284,165.47507,-4.3906727,-24.207129
1621039706292,165.8286,-4.1174235,-25.13292
1621039706317,166.2981,-3.9100246,-25.94734
1621039706327,166.80873,-3.8058562,-26.622454
1621039706348,167.34229,-3.6943269,-27.166008
1621039706367,167.8293,-3.543355,-27.512936
1621039706385,168.41661,-3.3704581,-27.932695
1621039706411,169.03009,-3.2812388,-28.428274
1621039706484,169.5761,-3.2176373,-29.071547
1621039706484,170.1132,-3.1462831,-29.716257
1621039706484,170.65082,-3.0780642,-30.223534
1621039706488,171.169,-2.9928946,-30.604012
1621039706505,171.7583,-2.8587925,-30.957533
1621039706524,172.3586,-2.700938,-31.389385
1621039706549,172.92377,-2.5127082,-31.79477
1621039706625,173.50343,-2.3270214,-31.984499
1621039706626,174.13187,-2.1641145,-31.859676
1621039706626,174.81569,-1.9690765,-31.579794
1621039706626,175.54205,-1.6668613,-31.161072
1621039706669,176.2295,-1.2594297,-30.842102
1621039706669,176.8061,-0.7257646,-30.644505
1621039706685,177.30388,-0.1701948,-30.646288
1621039706704,177.76642,0.3139085,-30.804358
1621039706726,178.25653,0.73295254,-30.747305
1621039706744,178.82217,1.0975971,-30.23622
1621039706765,179.47704,1.3683228,-29.315117
1621039706789,180.16325,1.5228783,-28.109406
1621039706805,180.89294,1.5570309,-26.807714
1621039706824,181.56886,1.5284289,-25.554836
1621039706847,182.14412,1.5283684,-24.424383
1621039706864,182.6801,1.6232343,-23.379045
1621039706884,183.16652,1.7775527,-22.383825
1621039706906,183.62968,1.9528825,-21.370012
1621039706924,184.09608,2.0941396,-20.36913
1621039706945,184.57819,2.1651738,-19.520489
1621039706966,185.0491,2.1940253,-18.789589
1621039706984,185.50363,2.2197797,-18.022974
1621039707004,185.91452,2.2250357,-17.179506
1621039707026,186.27626,2.164609,-16.338282
1621039707044,186.59596,2.106084,-15.553707
1621039707064,186.88603,2.07835,-14.868896
1621039707086,187.12102,2.08025,-14.288389
1621039707104,187.34009,2.0988746,-13.640893
1621039707125,187.57904,2.105295,-12.817097
1621039707146,187.89188,2.0370295,-11.80503
1621039707164,188.2013,1.8515012,-10.699534
1621039707184,188.47098,1.5719551,-9.645318
1621039707207,188.7006,1.2786274,-8.650013
1621039707224,188.91644,1.0114069,-7.597997
1621039707245,189.09648,0.7935517,-6.4921484
1621039707266,189.22108,0.5670741,-5.365376
1621039707284,189.30319,0.2886951,-4.0908093
1621039707304,189.38512,-0.07665303,-2.637081
1621039707326,189.4764,-0.49653015,-1.1167463
1621039707344,189.58037,-0.89587045,0.3534031
1621039707364,189.676,-1.1930165,1.6315569
1621039707386,189.70447,-1.386984,2.821591
1621039707405,189.68286,-1.5008452,3.9676967
1621039707424,189.62143,-1.5396092,5.0562387
1621039707446,189.557,-1.4867295,6.0008082
1621039707464,189.54333,-1.3634977,6.741626
1621039707484,189.52768,-1.21171,7.381429
1621039707506,189.52327,-1.1773957,8.031481
1621039707524,189.52892,-1.3718871,8.788239
1621039707544,189.45749,-1.6659477,9.705665
1621039707566,189.31415,-1.954439,10.668711
1621039707584,189.17923,-2.235822,11.565297
1621039707604,189.02872,-2.5170858,12.49058
1621039707626,188.82054,-2.791322,13.320588
1621039707644,188.57053,-3.0296748,14.05657
1621039707665,188.27394,-3.245887,14.762493
1621039707687,187.94109,-3.431481,15.435954
1621039707704,187.56825,-3.5483723,16.147484
1621039707724,187.2288,-3.7121294,16.871143
1621039707746,186.86565,-3.9233816,17.437244
1621039707764,186.4341,-4.139177,17.898918
1621039707784,185.95802,-4.323591,18.362999
1621039707808,185.43195,-4.4061785,18.78182
1621039707825,184.9079,-4.2307086,19.12515
1621039707845,184.42606,-3.754905,19.334352
1621039707866,183.9913,-3.1267238,19.440746
1621039707884,183.58627,-2.565277,19.554874
1621039707904,183.12561,-2.051752,19.693422
1621039707927,182.63066,-1.5110369,19.708292
